Year,Day,Time,George #, X, Y, Asleep,Behavior Mode,Energy Level,Risk,ProbFoodCap,MVL,MSL,PercptionDist,Percent Step
2008,6/19/2008,6:00 AM,6,591071.374756626,4504664.29938361,False,SafeSearchModifier,1000,0.00192,0.045,0.715,60,50.5,1
2008,6/19/2008,7:00 AM,6,591112.752918467,4504620.85001397,False,RiskySearchModifier,887.8,0.002,0.1,0.65,60,50,1
2008,6/19/2008,8:00 AM,6,591159.738875885,4504583.53621216,False,RiskyForageModifier,777.8,0.00134,0.067,0.65,40.2,50,0.67
2008,6/19/2008,8:00 AM,6,591177.048458523,4504546.70960308,False,RiskyForageModifier,704.1,0.000165,0.33,0.3,16.5,50,0.33
2008,6/19/2008,9:00 AM,6,591184.067274814,4504531.77688002,False,RiskyForageModifier,687.6,0.00017,0.34,0.3,17,50,0.34
2008,6/19/2008,9:00 AM,6,591192.036321619,4504547.28129659,False,RiskyForageModifier,770.6,0.00132,0.066,0.65,39.6,50,0.66
2008,6/19/2008,10:00 AM,6,591210.13894318,4504582.5013916,False,RiskyForageModifier,698,0.002,0.1,0.65,60,50,1
2008,6/19/2008,11:00 AM,6,591257.350537335,4504619.52929159,False,RiskyForageModifier,588,0.00184,0.092,0.65,55.2,50,0.92
2008,6/19/2008,11:00 AM,6,591307.574400613,4504641.73534564,False,RiskyForageModifier,486.8,0.00016,0.008,0.65,4.8,50,0.08
2008,6/19/2008,12:00 PM,6,591303.184361127,4504639.79432702,False,RiskyForageModifier,478,0.002,0.1,0.65,60,50,1
2008,6/19/2008,1:00 PM,6,591243.186822335,4504639.25087614,False,RiskyForageModifier,368,0.002,0.1,0.65,60,50,1
2008,6/19/2008,2:00 PM,6,591183.256748391,4504636.35497609,False,RiskyForageModifier,258,0.002,0.1,0.65,60,50,1
2008,6/19/2008,3:00 PM,6,591123.432415996,4504631.76702955,False,RiskyForageModifier,148,0.002,0.1,0.65,60,50,1
2008,6/19/2008,4:00 PM,6,591121.339525596,4504571.80354225,False,RiskyForageModifier,37.9999999999999,0.00078,0.039,0.65,23.4,50,0.39
George number 6 died from starvation
